2022.02.21 08:38:43 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2022.02.21 08:38:44 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2022.02.21 08:38:45 INFO  web[][o.e.p.PluginsService] no modules loaded
2022.02.21 08:38:45 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.join.ParentJoinPlugin]
2022.02.21 08:38:45 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.percolator.PercolatorPlugin]
2022.02.21 08:38:45 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.transport.Netty4Plugin]
2022.02.21 08:38:46 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [127.0.0.1:9001]
2022.02.21 08:38:46 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 7.6.0.21501 / d56689a5eb122c06cf87375828085609f5a68323
2022.02.21 08:38:47 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar
2022.02.21 08:38:47 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: /opt/sonarqube/data
2022.02.21 08:38:47 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
2022.02.21 08:38:47 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2022.02.21 08:38:48 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: /opt/sonarqube
2022.02.21 08:38:48 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2022.02.21 08:38:48 INFO  web[][o.s.s.p.d.m.h.MigrationHistoryTableImpl] Creating table schema_migrations
2022.02.21 08:38:48 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin Git / 1.7.0.1491 / 1d54e49a5f952dfb4ccded090f8043a2a62d0372
